index,business
224,0x80c2cfb6a420db19:0x10e1d4355749433
225,0x80ea41dd29d1f6ef:0xdfc62d50288639ee
226,0x808f9fef052b4365:0x7c2cf5673d351737
227,0x808f7f4f2f255f8d:0x745dcd4221a40a80
228,0x80997b29f01b4155:0xf54f80a189d85d55
229,0x80910d761212609b:0x4e3808152b6703eb
230,0x80c2d3a0361090f3:0x8d1476f08dde27c1
231,0x80840b0b6f092b5d:0x2ce4550edf160cb4
232,0x80c2b9206b1f242b:0x50605e30cc47f0db
233,0x80c2c7831bb7a8e3:0x9dbf02c72b384d5f
234,0x80e9efb8e232d573:0xbc476ca78d55b3c3
235,0x80c32bebd94e9b5d:0xfb519d572765becf
236,0x80c2c5df4c2eab73:0x572fcd7a0e83aaa1
237,0x80c29e69694c6809:0x7703b01cbb331c51
238,0x80c2c7a55b28dcf1:0x17dc8000c6fb0be6
239,0x80c2cfb425014249:0xf9dd5d1cebf05b70
240,0x8094609f73baa4fd:0x44885238963cd02a
241,0x80d94544588ecf39:0x77b12cc8b6a2ca79
242,0x80c4b4ee05581d25:0x4ef30575427431e9
243,0x80c2c78bf8831af3:0x76401d083f4a5831
244,0x8091e214e50e0883:0x9ece20c1638fa2d
245,0x80dcdd8a30fbf40d:0x34763379b30c8a9b
246,0x80dd31341ceb9c25:0x41af227181347ef
247,0x80900c67de1f9f1f:0x291ab6055c947633
248,0x808fb5eca1eaee93:0x95c61effe7c9518d
249,0x808fb533d074180f:0xa42cc7754b7b5627
250,0x80c2b9c0cbecdbd3:0xb1202016bccc3bc0
251,0x808de186eb087c85:0x9f143c410ee40557
252,0x80c295c55a9ef071:0x9a38359316a49ac3
253,0x808fb56729b82663:0x22759268afc1c9c3
254,0x808fc12c8c93ea35:0xe2b71250c7103ce
255,0x80c32b4af0d2f0df:0xad9152fd13f45e53
256,0x808fa4b3a2fa22bb:0xbfc14631ba8cd1c4
257,0x80ec5eb7c00a5633:0x414c11f4ef202b94
258,0x80dd28ab9dfbd7f1:0x24efe688fba0ed6f
259,0x80c2bf396bf27a55:0x683494b709c3d7ef
260,0x80850d1d15914cd5:0x3442b90886dbd23b
261,0x80c2c2e9549a6543:0xecd15f2141e6de34
262,0x80dcd91af4928e8b:0xa62157f8c4bb06ec
263,0x808fe79f0aaf495d:0xdc531d5b310d6284
264,0x808f7d0c7d10a263:0x950a671ecdcd4275
265,0x8099f1304b599a49:0xc8dbe5ac978a24a
266,0x80dca16fc496fb71:0x805ba42eff3916b5
267,0x80e823320b551105:0x227f97cb8165f2df
268,0x808e21716486f45b:0x6a7782141d09e5b3
269,0x80e825b5ae42c997:0xaee99a1a201f7ae0
270,0x80dc0b61edb94747:0xf1c2a05e07cbc66a
271,0x80dd2bf4c24a4275:0x9dd3639165e476da
272,0x80c2cfa8a9fe8575:0x828fb4bbcc26f627
273,0x80946784b1385ae3:0x408fbd0b28252ca7
274,0x80857e78746b554d:0x88421480ba0b41d1
275,0x808580fcf073f40b:0x47c42c4aea714f93
276,0x808f80b39a84987b:0xdbabb8f2c908e3d8
277,0x80c36590dc81235f:0xe18fc917e84a83b9
278,0x809057e3b96e7b47:0x195a25659c325d90
279,0x80dbf362684588b3:0x80524ff0534dec07
280,0x80dcdd6e4b8aba75:0x32a3173ac986929
281,0x80945f2cdb1677e5:0xe26df99be5595dd9
282,0x808fcea78e6d2d1d:0x90bcb789bfb60576
283,0x808e316e1f5d2903:0xbadca99f42f6e91
284,0x80c2bf5138a27911:0xf83dba70439ea2c7
285,0x8091fed55162046f:0x3cb8149694493c23
286,0x80dbff9b29249677:0xfeb481d45f89ced
287,0x809afbe3da4b9795:0xbf2a2a8ae9a702fc
288,0x80deaba34b45d301:0x33c069f3c60d4ecd
289,0x80d9558d206581ab:0x37ebadbcbc6e785
290,0x80945e9e8e746293:0x341f4e49be89ab67
291,0x80845a0cff5dcc35:0x6eaf9d7bfda57691
292,0x80ea41b4faac77d3:0x866586c2efa56e53
293,0x808fb670ed48954b:0x142d6469e6f80d95
294,0x8094f00cb435696d:0x1283e704484e2411
295,0x808e1b26d417532d:0xa3b491c904ece8a0
296,0x808f95c81e933da1:0x14296cd9a0ab0168
297,0x80ec6c90331c39f5:0x5270a39510a9c6fd
298,0x80c2cf12bb3ab789:0x510b99527bece612
299,0x80dcb059a76e7fdb:0x85a4e386bc4f4231
300,0x80dca505cc0104b9:0x3075263ca7a5f62e
301,0x80c331312201642f:0xf757e0ade5fa5e11
302,0x80c2b9cf302da51f:0xdfb3eaff6bbf99a0
303,0x808581989d29813b:0x12afb7f6a9632a72
304,0x8085816bf284cac5:0x4de6ee19e2b497ae
305,0x809458d04d7e4515:0x28574f0a67b3939c
306,0x80c2c73e36499869:0xe085a1d4116449cc
307,0x80c2b963b2192c4b:0xd7648b8a931dd463
308,0x80dc754f6c9acc13:0xa54a036636b7ef62
309,0x80dc755a16e3db93:0xdf0503e88da02473
310,0x80dc0c4199772c37:0xa345925ecd187eb
311,0x80dd212750af6a63:0x5fb0ac0a7c4d6c51
312,0x80dcb96257b81b63:0xce7a548739e67c75
313,0x80dcb541f4fc571b:0x2094cc59d593fc2f
314,0x80c2c5421655e4fd:0xd77c78d918b68567
315,0x80c2a081b21b934f:0xada60b302c21f51f
316,0x80dd2bd850b31891:0x92e231ed0cfe7bc0
317,0x809ad973158b44ad:0xf7523ebf28b87eb
318,0x808f940cfcdd1503:0x5f8a94ffb39551c7
319,0x80dd2d76b3d4ec65:0xa7a7428b629e285e
320,0x80dd28e9d35a7269:0x5327ef0acdb03293
321,0x80dd4acc053ef159:0xe4bedf07d8e405aa
322,0x80dc75fc8a73b15b:0x4cb4292f6d6e5c9
323,0x808f7f0e43b52ba7:0x2939ee2fc4a0e363
324,0x80db1dceebcc15dd:0xd486e027544dbec9
325,0x808e1b599d5dd219:0x7da84c6d0b66a11a
326,0x80c2b9a67833e50f:0x94e61a4295490691
327,0x80c2b9d97a831c6b:0xa8b226b2372530dd
328,0x54d4ed7529cb09fd:0x2bf16834ccb07520
329,0x80c2bab7f582e18d:0x41358749d86acb53
330,0x80c2b7aad2d4d925:0x6e9bb2d052410402
331,0x80e8313f682aee35:0x6a60b3bd620cee2c
332,0x808f8584f8334b3f:0xdf18b487f1d46dce
333,0x808577dfb474b93b:0x59b8f6dcf23374a2
334,0x808e3186fde2daaf:0xc6396224c0a8542
335,0x80dcab7c398fa8eb:0xb29dded0065824b9
336,0x8085809f412040b1:0x78641dc1676347cc
337,0x80dd2d046b3f7b6d:0xa5879df4d282642
338,0x80dd371d61d8452d:0xcbf73ff657e22b26
339,0x8085ac1d43158ccb:0x997946d58a972fa9
340,0x808f87fdc7f794f7:0x4d5583d729b81d95
341,0x808f7995e72d80a1:0xeb5e73cc1d6631fb
342,0x808f7e3329e494f7:0x32e96de48ce73aae
343,0x808de6a53fb724c3:0x49b8ebf6b28af9bb
344,0x80c2b14abdae8ed9:0x67ff467ef884a578
345,0x80c32d40ec0c9949:0xad93909df681da04
346,0x80c3343ff79fea8d:0x1a869471575d876c
347,0x80c2d1862bbd18f9:0x44f25e7185da77ee
348,0x80c2d1fc93620eb1:0x6264c4938c2aa9b5
349,0x80c2db086c180483:0x4e960b8c1d3c61e1
350,0x80c3b5517d904bc9:0x952b7820e14cb9a3
351,0x809bdffb43bc7c7d:0xef3923cc43b74f60
352,0x809143c216fa732f:0x8f26378e6139276a
353,0x809442f270457429:0x2f63afc70e10b427
354,0x80c2a3c8dba1ed2b:0x7e5d318082e1d251
355,0x80c2c75782b83765:0xb2558b3bb35d66aa
356,0x80c2cd3d76072fa9:0x6f7b1a17f219ae2
357,0x808fb567dc0fce2f:0x6d57a29d7713534c
358,0x80dca514e862787f:0xd41308313714b6c9
359,0x80dcd9487eb021f1:0xbdb845516ce6f14
360,0x808e15ba7d97c4c1:0x9cd0e776292596f8
361,0x80851517f3d82593:0xf8acfcce6306d405
362,0x80dc75be6d46cd09:0xa6b56ea5fefdf719
363,0x80dd4ac17fc36cdb:0xd62a2a63d45ba340
364,0x80d95459d428fe6b:0x83bee098bd793eec
365,0x80ea693e9f7d4cd5:0x9e0a80a1dd104cd4
366,0x80858156f667e109:0xa79208e7fcc2d839
367,0x80c29c22ebd4a073:0x2acd4e613900760e
368,0x80d955e2af027f49:0x4b62845cd489ea44
369,0x809050d759633035:0x287248e8225b74ff
370,0x80c2cb567a8e573b:0x10ccfcabae3ec08b
371,0x80dca65ef86a5e2d:0xed3bb8fcaebfdf1
372,0x809184d9971e365b:0xb0a30a32ef49daef
373,0x80dbff0bb7281d03:0x7e20a8be54dd4549
374,0x80858746776c0a15:0x22ea12eb60fb7737
375,0x80c34b8898e20f4f:0xcf64fc2e21126682
376,0x80dcf39a6e33db1b:0x351fd1b6f20554bd
377,0x80857f5d975d936f:0x7e7b96e4c75851c1
378,0x80857dc61b9dba8b:0xf4be206d96bacc6b
379,0x80e9403c00000001:0x8038f60d2d5ebc90
380,0x80816458c6e5fc77:0xdc4d76563f869330
381,0x80c2d3c22ef49bdd:0xcafc52fd324d7ea4
382,0x80c3518bd8cd2ceb:0x5406c2a5a5f0bbf9
383,0x808e3144e252bbc3:0x64f0e86c15a7b038
384,0x8090129ec8862b53:0xc822cf7f5e07861f
385,0x808fe9c451b5bddb:0x213ffde70c47f60d
386,0x8085573b7df4350b:0x2e578e8eb6e3f19f
387,0x808559df24a77cd7:0x2e3c316799d42331
388,0x80c333421f1ae221:0xa8b2295778fb1819
389,0x80c336d43db2fbcd:0xb0357b8e2775d93f
390,0x80e90f1d8e84442f:0x718af961f2555c79
391,0x80c2c703237f0ac7:0x62d2d5adc81d9df
392,0x80c2c96ae0ed5c0b:0xc49a7b90227e3e0f
393,0x80c2bbb7b254930d:0x1e58b071b53c3e69
394,0x80c2a5dc4b74b01d:0x59e9be7780916f32
395,0x80c2d5a1a44d7ecf:0x6f1888dc34fdd38
396,0x80ece9c778942a85:0x6c9bfa6a3ad7387b
397,0x80c3357a699afe11:0xeb49860e2a50a371
398,0x80c2cbaef4fc4ef7:0xc8d5705507e65fb4
399,0x808581e3326298b7:0x36dae127fcad771f
400,0x808130b345943329:0xffde342d4634e83d
401,0x80c2bff60b43e103:0x30dc5bd577db1b88
402,0x8094673a700a2ff9:0x898c41dda37d3a04
403,0x80db9262d2f4cccd:0xdd2767be9506c056
404,0x80c2c5951e5f14df:0xe98a75e1d4157660
405,0x8085798eb453a53f:0x2da60fb90d64d208
406,0x809ae355cbf6dd61:0xfece2f2762c12e02
407,0x80853d5c7bb0eac5:0x82c21b59ed8b8004
408,0x8095b720a85d7869:0xff5ea6697ed18a37
409,0x809ad1c95e4cda1f:0xd7e87408ad918e93
410,0x80c2c99facb3fac7:0x10ed10e71f828908
411,0x808f90e14989cc4b:0x825d57efb710563e
412,0x808de6b9ee6ff523:0x89ae8cffe6dbe2ff
413,0x80dd2980615ec8bb:0xb0ca4689105fbc3d
414,0x80dc07327515f975:0xd6836303d2e80f8c
415,0x80dc070b44ba9373:0x94dc3ca90971ed9b
416,0x809add888a16b731:0xb8af9a032ccc6d0f
417,0x80952bded49a706b:0x78897f246a45af
418,0x80952bb031368f73:0xa2a3961d28640a53
419,0x80952f80210b9439:0x1e1bff333e19c298
420,0x808f852ec3acbb2b:0x57e015a4fc07d5b6
421,0x80960d4edf9f37eb:0x298337fbf901fc60
422,0x80dcd7e705bb41e3:0x4595269f8351b42c
423,0x80e853ef2825140f:0xb6da6722e07c4248
424,0x80c297cf0512891d:0x8ce7650d1a1046a0
425,0x80c2979e384bb893:0xe1b46456665e1dc4
426,0x80c2b4af13ff89bd:0xa8f3c5d09285cb57
427,0x80c2bfa7fae4c6f9:0xf6d9c68a62ef3d5f
428,0x808e32bd46d0e321:0x4e4288aaef178867
429,0x808fc71d61bcb7d7:0x6cd30ddf8f1b4c8
430,0x80834d18f61576c5:0xf5e0c91e7494be75
431,0x80ecf1aff54e5495:0xe42b3fb13a1d3987
432,0x80c34a1bcec4191f:0x65ec31e841fbd44e
433,0x808f7fcd9700d9bf:0xbd6776261075b3eb
434,0x80c2bbf5bcf7d417:0xc50064951e5606e0
435,0x80dcef560469cafd:0x9da8191c61542912
436,0x80dc8385c954fc1f:0xa65cf0047f021902
437,0x809ac556b7085739:0x55f40ca99d4b441c
438,0x808573f0627c36f9:0x5da98fe56cc155cd
439,0x80e849b63fee5469:0xe7f3eb10465dcc3d
440,0x808fc7bbe21041b3:0xec74f36aff820d98
441,0x80c35329b54db21d:0xd75aad643358210f
442,0x808f9f85e4c7a4eb:0x8887b964cb3ab67
443,0x80dd27d0edaeb0d5:0xd906d61ba89bda6a
444,0x808fc92a27c45307:0x9ec173a288276e76
445,0x80dd2a4ef9384d55:0x315274a2b5342d59
446,0x80c2db67aa01e9f3:0x13ffebc52626bb27
447,0x80c2dbd148000eeb:0xce9e38e749af1c8e
448,0x80c2bf8f55de4c29:0xb9f7eeb8a58702d7
449,0x808f817a95636efb:0xc2cc22f1b81f6e12
450,0x80dcd87aa7d521f7:0x3cff53924b7e46cb
451,0x80843907455a1433:0xefa3819e01f538fe
452,0x80c2d76f78f486db:0xade65b33d5c9c995
453,0x80c2b91e7effcbc9:0x626a97f324ff2c1f
454,0x80e849d8e0c21709:0xd2a6e02fa7fa431f
455,0x80c29d17151a7689:0x88d7e763672c9ae5
456,0x8090af85806d4f91:0xceaa5552f0b14165
457,0x80c333168f5fac63:0xe9afe704755cafcc
458,0x80dcd5bc3c01a10d:0xdcd0225967822c6d
459,0x80dcd7297a57ef8f:0xa2897fbba85aca17
460,0x80eae5e3d80bcc63:0xdcf5c04abcc47563
461,0x80db85ffec878857:0xe19ebedb39a106eb
462,0x80c2c0560fdb2f5f:0x54be46549aede504
463,0x80db13eac056ebd9:0x859327ac66c19926
464,0x808f7dbc9cc734dd:0xe956a3d6d635a432
465,0x80c32b10e49a672f:0x46288086505cc6f3
466,0x80c297a3288f0a23:0x3553505252f054f3
467,0x80c2b90d1e37b011:0x337c76a6f24e0872
468,0x80c2be124efb6235:0xd47a9c655b84a98a
469,0x8085119c5a93dc25:0x62233196fbba4205
470,0x80c35336c9dbb233:0x8648a7121862ad0f
471,0x80dd26e819f827c3:0x55d8787bb70a2ce8
472,0x80c2851c318b7c8f:0xa059bf4593563157
473,0x80997d2c1fab2f59:0xbc196d35892a5f18
474,0x80ea6a32519da715:0xb85ed45b43a62c1d
475,0x80855e18b58b1f5f:0x6f3dda8558b90487
476,0x80e9f6033ac49d91:0xec2f7ef3da355ecf
477,0x80e9f6033af65bd3:0x1e9855c16310a086
478,0x80db1b116b49e6fb:0xce690a5e54de1e54
479,0x80dd2bad3efc76e3:0x4a71e6db1f8d4e4d
480,0x80e84e827b7899d3:0xc89af738f6349227
481,0x80c34be682740a43:0x9b75ca8d0158887b
482,0x80c296c217631b49:0x2e120a91b259b871
